UserID,MovieID,Rating,Timestamp
1,3408,4,978300275
1,1207,4,978300719
1,2692,4,978301570
1,1961,5,978301590
1,2018,4,978301777
1,2797,4,978302039
1,3114,4,978302174
1,1197,3,978302268
2,1217,3,978298151
2,1210,4,978298151
2,2717,3,978298196
2,318,5,978298413
2,515,5,978298542
2,3468,5,978298542
2,2501,5,978298600
2,110,5,978298625
2,2067,5,978298625
2,3105,4,978298673
2,1957,5,978298750
2,2194,4,978299297
2,1188,4,978299620
2,2396,4,978299641
2,2321,3,978299666
2,356,5,978299686
2,1610,5,978299809
2,21,1,978299839
2,1372,3,978299941
2,368,4,978300002
3,1961,4,978297095
3,590,4,978297439
3,2871,4,978297539
3,1197,5,978297570
3,1580,3,978297663
3,1615,5,978297710
3,2470,4,978297777
3,552,4,978297837
4,1210,3,978293924
4,3468,5,978294008
4,1387,5,978294199
5,919,4,978241072
5,908,4,978241072
5,2858,4,978241390
5,2770,4,978241981
5,3016,4,978242016
5,1093,2,978242080
5,3409,3,978242541
5,2959,4,978242541
5,2716,3,978242607
5,2318,4,978242640
5,2723,4,978242788
5,24,1,978242934
5,2395,5,978243054
5,2700,4,978243085
5,3578,2,978243803
5,3513,1,978243896
5,501,1,978244001
5,1213,5,978244177
5,318,3,978244177
5,1554,3,978244540
5,994,5,978244540
5,2289,4,978244568
5,41,4,978244692
5,1171,4,978244852
5,1500,3,978245314
5,1635,4,978245314
5,215,3,978245422
5,1517,4,978245568
5,2359,3,978245568
5,1466,3,978245695
5,2353,3,978245790
6,3072,4,978236075
6,1043,4,978236219
6,17,4,978236383
6,2100,3,978236567
6,2406,5,978236670
6,2082,3,978236975
6,595,4,978237511
6,1688,5,978237570
6,48,5,978237570
6,914,5,978237767
6,3604,5,978237767
7,442,4,978234632
7,1997,5,978234737
7,2028,5,978234786
7,457,5,978234786
8,3418,3,978229138
8,393,2,978229138
8,2692,5,978229138
8,2571,5,978229172
8,2278,3,978229293
8,3256,5,978229347
8,2396,5,978229524
8,1059,3,978229614
8,2858,5,978229817
8,1213,5,978229817
8,2908,3,978230052
8,2686,4,978230152
8,562,5,978230184
8,538,3,978230391
8,3246,4,978230391
8,1660,3,978230611
8,3105,4,978230666
8,2268,3,978230852
8,151,4,978231150
8,465,5,978231173
8,1801,3,978232056
9,3452,2,978225746
9,3148,3,978225827
9,608,4,978225898
9,2028,5,978225908
9,1,5,978225952
9,2599,2,978225952
9,2571,5,978225984
9,3160,3,978225984
9,457,5,978226006
9,2355,4,978226054
9,2324,5,978226066
9,3147,4,978226081
9,47,5,978226093
9,2959,4,978226123
9,2890,5,978226291
9,1682,4,978226302
10,597,4,978224375
10,2312,5,978224549
10,1282,5,978224549
10,3675,5,978224779
10,2135,4,978224779
10,2300,5,978225682
10,1291,5,978225735
10,1302,5,978225779
10,1201,2,978225853
10,913,3,978225900
10,588,4,978225900
10,1387,3,978225952
10,3868,3,978225997
10,2997,4,978226026
10,3471,5,978226231
10,1411,4,978226287
10,2000,5,978226319
10,1682,5,978226319
10,1271,5,978226349
10,1269,5,978226500
10,2355,4,978226500
10,180,2,978226766
10,356,5,978226833
10,2291,4,978226896
10,3097,5,978226951
10,2040,4,978227003
10,3100,3,978227105
10,3255,4,978227143
10,1104,4,978227263
10,2041,3,978227300
10,1243,5,978227300
10,2321,4,978227336
10,316,5,978227503
10,2617,4,978227696
10,2018,4,978227993
10,2622,5,978228212
10,2161,5,978228212
10,2746,5,978228307
10,671,3,978228408
10,1441,5,978228451
10,3591,5,978228525
10,2045,3,978228575
10,2090,4,978228820
10,3072,4,978228930
10,2046,4,978228966
10,1124,5,978229075
10,1016,5,978229171
10,1633,4,978229266
10,1345,3,978229295
10,351,4,978229562
10,1091,3,978229753
10,1884,2,978229772
10,3439,2,978229894
10,153,3,978229917
10,3812,4,978229959
10,2497,4,978229979
10,1690,4,978230253
10,3254,3,978230540
10,3264,3,978230671
10,1015,3,978230923
10,1030,3,978230946
10,3948,4,978295480
10,2125,5,979167795
10,1247,3,979167795
11,3755,3,978219385
11,1089,5,978219776
11,3418,5,978219776
11,2580,5,978220030
11,1923,5,978220393
11,249,3,978220645
11,2712,1,978220669
11,2710,3,978220867
11,1916,4,978220867
11,3176,3,978221069
11,3107,3,978221143
11,1573,1,978221307
11,85,1,978902286
11,2355,1,978902350
11,531,3,978902521
11,2282,4,978902522
11,708,1,978902586
11,1259,3,978903041
11,2321,3,978903107
11,356,5,978903209
11,2766,4,978903209
12,1221,5,978218949
12,919,5,978220120
12,923,5,978220237
13,1196,5,978201342
13,3745,3,978201368
13,1544,4,978202073
